"Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Horizontal_Distance_To_Fire_Points","Wilderness_Area1","Wilderness_Area2","Wilderness_Area3","Wilderness_Area4","Soil_Type10","Soil_Type12","Soil_Type22","Soil_Type23","Soil_Type29","Soil_Type30","Soil_Type32","Soil_Type33","Cover_Type"
3210,307,11,283,19,4395,188,233,603,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3126,34,7,60,0,845,219,225,1974,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3300,293,25,108,18,2356,140,224,2877,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3159,33,5,60,-1,3704,219,229,1448,1,0,0,0,0,0,0,1,0,0,0,0,"1"
3237,357,20,153,-26,1952,184,199,1616,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3121,130,4,85,0,2352,226,237,339,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3099,285,5,0,0,4436,207,240,3362,1,0,0,0,0,0,1,0,0,0,0,0,"1"
2996,0,15,600,75,1947,197,211,960,0,0,1,0,0,0,0,1,0,0,0,0,"1"
3296,50,7,285,41,5946,224,225,390,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3152,7,12,210,29,3123,205,215,3209,1,0,0,0,0,0,0,0,1,0,0,0,"1"
3346,226,29,150,91,3472,166,251,395,1,0,0,0,0,0,0,0,0,0,0,0,"1"
3147,63,7,30,-1,1376,226,226,2617,1,0,0,0,0,0,0,0,1,0,0,0,"1"
2611,23,11,30,-2,824,214,217,1630,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3180,32,6,391,63,872,219,227,2148,0,0,1,0,0,0,1,0,0,0,0,0,"1"
2960,22,15,270,15,1940,209,206,3144,0,0,1,0,0,0,0,0,0,0,0,1,"1"
3211,78,11,85,-5,2978,234,220,1748,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3259,259,4,342,25,277,211,241,794,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3167,151,12,150,11,4805,235,240,1332,1,0,0,0,0,0,0,0,0,1,0,0,"1"
3261,2,6,192,30,175,211,228,911,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3294,219,3,134,16,6132,216,243,395,1,0,0,0,0,0,1,0,0,0,0,0,"1"
3184,139,19,270,22,2220,245,230,1627,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3236,161,10,306,69,2664,230,243,902,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3301,230,8,182,22,3785,207,248,1747,0,0,1,0,0,0,0,0,0,0,1,0,"1"
3071,258,13,192,34,3065,189,247,1567,0,0,1,0,0,0,0,0,0,0,0,0,"1"
3108,92,21,459,172,1448,247,202,2496,0,0,1,0,0,0,0,0,0,0,0,1,"1"
