"Elevation","Aspect","Slope","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Horizontal_Distance_To_Fire_Points","Wilderness_Area1","Wilderness_Area2","Wilderness_Area3","Wilderness_Area4","Soil_Type10","Soil_Type12","Soil_Type22","Soil_Type23","Soil_Type29","Soil_Type30","Soil_Type32","Soil_Type33","Cover_Type","Cover_Type"
3343,176,12,2922,226,246,607,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3242,47,9,1018,223,220,874,0,1,0,0,0,0,0,0,0,0,1,0,"1","1"
3098,59,13,1597,229,213,258,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
3145,96,16,1423,244,215,2469,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3525,104,8,2648,234,230,994,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3208,69,7,1245,227,227,2672,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
2890,104,20,595,249,210,750,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3171,79,8,1928,231,226,3059,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3296,134,14,3122,241,233,2911,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3001,87,13,4218,239,218,4153,1,0,0,0,0,0,0,0,0,0,0,0,"1","1"
3174,18,10,932,212,218,2125,0,0,1,0,0,0,1,0,0,0,0,0,"1","1"
3106,220,15,2164,201,253,685,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
3198,98,7,2448,231,231,2827,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3171,147,8,1040,232,239,633,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3112,258,15,3509,183,248,1419,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3178,285,13,3005,184,240,1120,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3181,284,8,3623,198,240,1670,1,0,0,0,0,0,1,0,0,0,0,0,"1","1"
3088,53,9,2318,226,220,1307,1,0,0,0,0,0,0,0,0,1,0,0,"1","1"
3347,186,13,3211,221,249,339,0,0,1,0,0,0,0,0,0,0,0,0,"1","1"
3119,107,13,3558,242,223,4952,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3126,46,13,3687,224,211,4251,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3209,98,15,3319,243,218,342,0,0,1,0,0,0,1,0,0,0,0,0,"1","1"
3351,263,8,4276,201,244,1989,0,0,1,0,0,0,1,0,0,0,0,0,"1","1"
3161,152,30,2014,241,224,1366,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3200,202,15,3238,212,252,969,0,0,1,0,0,0,0,0,0,0,1,0,"1","1"
3267,185,22,3160,218,249,684,0,0,1,0,0,0,0,0,0,0,0,1,"1","1"
3000,12,17,4390,201,204,2197,1,0,0,0,0,0,0,0,1,0,0,0,"1","1"
3012,134,15,424,242,232,1061,1,0,0,0,0,0,0,1,0,0,0,0,"1","1"
